Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus
-34.096389,24.439167,01-02-2005,20.851,431.0,0.019
-34.096389,24.439167,02-08-2005,21.489,651.0,0.012
-34.096389,24.439167,02-09-2003,9.555,489.0,0.043
-34.096389,24.439167,02-12-2003,21.898,661.0,0.023
-34.096389,24.439167,02-12-2014,14.297,582.0,0.068
-34.096389,24.439167,03-06-2003,7.338,447.0,0.027
-34.096389,24.439167,03-09-1997,16.1,360.0,0.039
-34.096389,24.439167,03-10-2000,13.772,655.0,0.016
-34.096389,24.439167,03-12-2002,11.871,447.0,0.027
-34.096389,24.439167,04-02-2015,25.278,640.0,0.039
-34.096389,24.439167,04-03-2015,19.387,587.0,0.081
-34.096389,24.439167,04-05-2011,25.882,752.0,0.01
-34.096389,24.439167,04-05-2016,29.2,604.0,0.042
-34.096389,24.439167,04-06-1997,15.2,302.0,0.128
-34.096389,24.439167,04-07-2000,16.663,686.0,0.023
-34.096389,24.439167,04-07-2006,13.726,510.0,0.024
-34.096389,24.439167,04-12-2013,22.067,520.34,0.042
-34.096389,24.439167,05-02-2014,35.024,767.42,0.028
-34.096389,24.439167,05-05-2015,10.655,467.0,0.02
-34.096389,24.439167,05-06-2007,16.345,543.0,0.025
-34.096389,24.439167,05-10-1999,9.797,467.0,0.02
-34.096389,24.439167,05-11-2014,14.899,601.0,0.038
-34.096389,24.439167,05-12-2006,28.87,639.0,0.037
-34.096389,24.439167,05-12-2012,25.515,480.0,0.038
-34.096389,24.439167,06-04-2004,21.877,660.0,0.029
-34.096389,24.439167,06-07-2004,14.053,608.0,0.035
-34.096389,24.439167,06-08-2009,14.342,759.0,0.012
-34.096389,24.439167,06-09-2016,11.3,549.0,0.078
-34.096389,24.439167,06-11-2001,16.64,613.0,0.024
-34.096389,24.439167,06-11-2013,15.931,474.0,0.025
-34.096389,24.439167,07-01-2014,28.516,650.74,0.075
-34.096389,24.439167,07-01-2015,14.177,500.0,0.062
-34.096389,24.439167,07-02-2012,42.467,521.0,0.013
-34.096389,24.439167,07-04-1998,11.7,722.0,0.017
-34.096389,24.439167,07-06-2016,25.6,750.0,0.189
-34.096389,24.439167,07-07-2011,12.375,464.0,0.01
-34.096389,24.439167,07-10-2014,10.0,551.0,0.023
-34.096389,24.439167,07-10-2015,15.834,473.0,0.029
-34.096389,24.439167,07-11-2012,16.598,433.0,0.047
-34.096389,24.439167,07-12-2011,20.821,401.0,0.01
-34.096389,24.439167,08-01-2013,20.824,587.0,0.042
-34.096389,24.439167,08-10-2013,13.176,502.92,0.025
-34.096389,24.439167,08-11-2011,25.88,504.0,0.01
-34.096389,24.439167,08-11-2017,32.6,779.0,0.293
-34.096389,24.439167,08-12-2009,23.368,783.0,0.012
-34.096389,24.439167,08-12-2015,22.754,471.0,0.044
-34.096389,24.439167,09-02-2016,10.0,787.0,0.027
-34.096389,24.439167,09-02-2017,40.3,1040.0,0.047
-34.096389,24.439167,09-03-2010,33.623,910.0,0.012
-34.096389,24.439167,09-03-2011,35.435,634.0,0.01
-34.096389,24.439167,09-04-2008,21.668,543.0,0.026
-34.096389,24.439167,09-11-2004,12.77,478.0,0.026
-34.096389,24.439167,09-12-1997,16.4,539.0,0.015
-34.096389,24.439167,10-02-2010,44.0,916.0,0.012
-34.096389,24.439167,10-05-2005,15.447,516.0,0.02
-34.096389,24.439167,10-09-2002,5.485,417.0,0.113
-34.096389,24.439167,10-10-2017,26.0,997.0,0.423
-34.096389,24.439167,11-01-2012,22.761,547.0,0.011
-34.096389,24.439167,11-09-2012,18.899,466.0,0.014
-34.096389,24.439167,11-09-2013,21.127,659.0,0.114
-34.096389,24.439167,12-08-2014,17.185,619.0,0.043
-34.096389,24.439167,12-10-2011,26.975,423.0,0.01
-34.096389,24.439167,12-11-2015,24.924,499.0,0.026
-34.096389,24.439167,13-03-2007,14.442,419.0,0.128
-34.096389,24.439167,13-07-2016,34.1,612.0,0.095
-34.096389,24.439167,13-08-1997,14.2,339.0,0.025
-34.096389,24.439167,13-08-2002,10.824,516.0,0.036
-34.096389,24.439167,13-08-2013,10.383,534.94,0.048
-34.096389,24.439167,13-09-2011,8.953,441.0,0.01
-34.096389,24.439167,13-09-2017,32.8,1162.0,0.697
-34.096389,24.439167,13-12-1995,17.7,379.0,0.024
-34.096389,24.439167,14-07-2009,9.637,783.0,0.012
-34.096389,24.439167,14-08-2001,12.875,650.0,0.036
-34.096389,24.439167,14-08-2012,11.001,378.0,0.01
-34.096389,24.439167,14-10-2003,17.85,514.0,0.028
-34.096389,24.439167,14-12-2004,11.016,501.0,0.047
-34.096389,24.439167,15-01-2008,21.172,426.0,0.049
-34.096389,24.439167,15-03-2016,29.0,680.0,0.067
-34.096389,24.439167,15-03-2017,50.8,1261.0,0.027
-34.096389,24.439167,15-04-2003,11.8,382.0,0.046
-34.096389,24.439167,15-07-2014,11.718,681.0,0.127
-34.096389,24.439167,15-09-2021,19.828,535.65,0.066
-34.096389,24.439167,16-08-2016,12.9,628.0,0.119
-34.096389,24.439167,16-09-1998,4.0,430.0,0.11
-34.096389,24.439167,16-09-2015,18.704,493.0,0.02
-34.096389,24.439167,17-01-2017,49.3,1253.0,0.021
-34.096389,24.439167,17-07-2013,25.433,836.0,0.12
-34.096389,24.439167,17-08-2004,14.232,600.0,0.023
-34.096389,24.439167,17-09-2014,14.508,680.0,0.02
-34.096389,24.439167,17-10-2006,16.667,490.0,0.03
-34.096389,24.439167,17-10-2012,23.045,512.0,0.053
-34.096389,24.439167,17-11-2010,22.695,,0.017
-34.096389,24.439167,18-04-2000,8.191,469.0,0.015
-34.096389,24.439167,18-06-1997,13.7,311.0,0.03
-34.096389,24.439167,18-06-2014,30.491,640.0,0.053
-34.096389,24.439167,18-08-2015,17.022,590.0,0.021
-34.096389,24.439167,18-11-1997,19.9,543.0,0.01
-34.096389,24.439167,19-02-2008,14.492,492.0,0.036
-34.096389,24.439167,19-06-2012,11.936,424.0,0.01
-34.096389,24.439167,19-06-2013,,666.0,0.084
-34.096389,24.439167,19-08-2008,25.316,,0.012
-34.096389,24.439167,20-03-2001,23.398,640.0,0.085
-34.096389,24.439167,20-05-2008,,632.0,
-34.096389,24.439167,21-05-1997,14.9,387.0,0.015
-34.096389,24.439167,21-05-2013,25.363,766.0,0.064
-34.096389,24.439167,21-06-2005,19.648,537.0,0.011
-34.096389,24.439167,21-07-2021,13.066,538.7,0.01
-34.096389,24.439167,21-09-1997,12.8,369.0,0.04
-34.096389,24.439167,21-10-2010,11.937,621.0,0.01
-34.096389,24.439167,22-06-1999,18.5,795.0,0.017
-34.096389,24.439167,22-07-2003,9.381,488.0,0.016
-34.096389,24.439167,22-07-2015,10.037,470.0,0.033
-34.096389,24.439167,22-08-2006,8.0,413.0,0.066
-34.096389,24.439167,22-11-2016,41.2,563.0,0.02
-34.096389,24.439167,23-04-2014,25.516,676.0,0.034
-34.096389,24.439167,23-05-2006,14.192,458.0,0.093
-34.096389,24.439167,23-08-2010,8.44,616.0,0.01
-34.096389,24.439167,23-11-1999,19.546,552.0,0.015
-34.096389,24.439167,23-11-2021,23.131,536.29,0.122
-34.096389,24.439167,24-04-2007,25.155,527.0,0.028
-34.096389,24.439167,24-04-2012,21.435,669.0,0.011
-34.096389,24.439167,24-04-2013,29.275,901.0,0.068
-34.096389,24.439167,24-05-2000,21.228,621.0,0.024
-34.096389,24.439167,24-06-2015,11.451,505.0,0.039
-34.096389,24.439167,24-07-2007,13.018,559.0,0.039
-34.096389,24.439167,24-07-2012,18.494,502.0,0.051
-34.096389,24.439167,25-03-2014,45.184,918.0,0.01
-34.096389,24.439167,25-06-2002,17.63,839.0,0.026
-34.096389,24.439167,25-08-1999,14.5,634.0,0.021
-34.096389,24.439167,25-11-2008,20.252,460.0,0.012
-34.096389,24.439167,26-02-2013,30.352,797.0,0.018
-34.096389,24.439167,26-02-2014,29.207,759.0,0.056
-34.096389,24.439167,26-03-2013,35.382,826.0,0.02
-34.096389,24.439167,27-01-1999,17.1,621.0,0.014
-34.096389,24.439167,27-05-2014,19.727,575.0,0.02
-34.096389,24.439167,27-05-2015,18.382,551.0,0.07
-34.096389,24.439167,27-06-2001,13.711,710.0,0.036
-34.096389,24.439167,27-07-2010,16.547,751.0,0.013
-34.096389,24.439167,27-09-2016,13.8,540.0,0.054
-34.096389,24.439167,27-10-2009,11.872,651.0,0.012
-34.096389,24.439167,28-03-2012,25.904,680.0,0.01
-34.096389,24.439167,28-07-1997,14.2,382.0,0.018
-34.096389,24.439167,28-07-1999,21.2,813.0,0.012
-34.096389,24.439167,28-08-2007,17.516,495.0,0.052
-34.096389,24.439167,28-11-2000,18.878,494.0,0.051
-34.096389,24.439167,29-09-2004,8.0,483.0,0.023
-34.096389,24.439167,30-01-2001,22.533,531.0,0.099
-34.096389,24.439167,30-06-2010,10.197,661.0,0.013
-34.096389,24.439167,31-01-2013,28.558,673.0,0.163
-34.096389,24.439167,31-03-2015,13.749,643.0,0.11
-34.096389,24.439167,31-05-2011,26.779,,0.023
-33.771111,25.386667,01-01-2003,218.967,4610.0,0.22
-33.771111,25.386667,01-02-2005,81.385,808.0,0.019
-33.771111,25.386667,01-04-1997,243.7,2930.0,0.082
-33.771111,25.386667,01-05-2001,132.169,1820.0,0.045
-33.771111,25.386667,01-05-2002,253.869,5640.0,0.231
-33.771111,25.386667,01-06-2011,39.653,548.0,0.01
-33.771111,25.386667,01-07-1998,182.2,2590.0,0.142
-33.771111,25.386667,01-08-2007,92.017,1470.0,0.078
-33.771111,25.386667,01-09-1997,35.3,629.0,0.05
-33.771111,25.386667,01-09-1998,93.5,1178.0,0.018
-33.771111,25.386667,01-09-2004,225.326,3190.0,0.177
-33.771111,25.386667,01-10-1996,362.1,4980.0,0.013
-33.771111,25.386667,01-11-2006,86.938,1099.0,0.047
-33.771111,25.386667,02-03-2005,37.629,466.0,0.011
-33.771111,25.386667,02-04-1996,533.0,3590.0,0.101
-33.771111,25.386667,02-04-2015,225.59,2343.0,0.255
-33.771111,25.386667,02-08-1995,128.4,1970.0,0.022
-33.771111,25.386667,02-09-1997,46.9,593.0,0.025
-33.771111,25.386667,02-09-2008,245.2,3700.0,
-33.771111,25.386667,02-10-2008,277.321,4040.0,0.225
-33.771111,25.386667,02-11-1999,156.132,2000.0,0.018
-33.771111,25.386667,02-11-2016,281.7,3052.0,0.731
-33.771111,25.386667,02-12-1997,180.2,3040.0,0.02
-33.771111,25.386667,03-02-1998,169.8,2920.0,0.01
-33.771111,25.386667,03-03-1998,91.8,1166.0,0.05
-33.771111,25.386667,03-04-2000,27.923,258.0,0.031
-33.771111,25.386667,03-04-2001,209.713,4190.0,0.037
-33.771111,25.386667,03-04-2002,240.826,4590.0,0.249
-33.771111,25.386667,03-05-2010,118.43,2090.0,0.075
-33.771111,25.386667,03-06-1998,125.6,1690.0,0.03
-33.771111,25.386667,03-06-2003,62.681,984.0,0.033
-33.771111,25.386667,03-06-2010,154.345,2460.0,0.054
-33.771111,25.386667,03-07-2003,98.817,1790.0,0.063
-33.771111,25.386667,03-08-2005,227.954,3630.0,0.16
-33.771111,25.386667,03-09-1996,314.7,4390.0,0.118
-33.771111,25.386667,03-09-2009,166.034,2100.0,0.086
-33.771111,25.386667,03-10-1995,197.9,3080.0,0.098
