GEMS Station Number;Sample Date;Sample Time;Depth;Parameter Code;Analysis Method Code;Value Flags;Value;Unit;Data Quality;Status
ZAF00221;2022-05-19;09:11;0.0;Alk-Tot;0;;103.248;mg/l;Suspect;
ZAF00221;2022-05-19;09:11;0.0;EC;0;;486.41;µS/cm;Suspect;
ZAF00221;2022-05-19;09:11;0.0;DRP;0;;0.089;mg/l;Suspect;
ZAF00221;2021-11-16;14:13;0.0;Alk-Tot;0;;94.54;mg/l;Suspect;
ZAF00221;2021-11-16;09:55;0.0;EC;0;;478.0;µS/cm;Suspect;
ZAF00221;2021-11-16;14:13;0.0;EC;0;;383.14;µS/cm;Suspect;
ZAF00221;2021-11-16;09:55;0.0;DRP;0;<;0.1;mg/l;Suspect;
ZAF00221;2021-11-16;14:13;0.0;DRP;0;;0.095;mg/l;Suspect;
ZAF00221;2021-09-13;12:15;0.0;Alk-Tot;0;;99.098;mg/l;Suspect;
ZAF00221;2021-09-13;12:15;0.0;EC;0;;431.82;µS/cm;Suspect;
ZAF00221;2021-09-13;12:15;0.0;DRP;0;;0.046;mg/l;Suspect;
ZAF00221;2021-05-04;10:16;0.0;EC;0;;704.0;µS/cm;Suspect;
ZAF00221;2021-05-04;10:16;0.0;DRP;0;;0.26;mg/l;Suspect;
ZAF00221;2020-10-19;11:09;0.0;EC;0;;592.0;µS/cm;Suspect;
ZAF00221;2020-10-19;11:09;0.0;DRP;0;;0.21;mg/l;Suspect;
ZAF00221;2021-02-22;10:15;0.0;EC;0;;509.0;µS/cm;Suspect;
ZAF00221;2021-02-22;10:15;0.0;DRP;0;<;0.1;mg/l;Suspect;
ZAF00221;2021-07-08;09:35;0.0;EC;0;;717.0;µS/cm;Suspect;
ZAF00221;2021-07-08;09:35;0.0;DRP;0;;0.46;mg/l;Suspect;
ZAF00221;2021-09-20;09:26;0.0;EC;0;;316.0;µS/cm;Suspect;
ZAF00221;2021-09-20;09:26;0.0;DRP;0;;0.24;mg/l;Suspect;
ZAF00221;2022-02-08;10:20;0.0;EC;0;;420.0;µS/cm;Suspect;
ZAF00221;2022-02-08;10:20;0.0;DRP;0;<;0.1;mg/l;Suspect;
ZAF00221;1995-04-03;10:00;0.0;Alk-Tot;0;;85.8;mg/l;Fair;
